 ,Mean,StdDev,IntDen,RawIntDen,Slice,microns
1,128.000,0.000,128141.986,46208.000,1,0.000
2,19.457,11.329,19478.647,7024.000,2,2.773
3,19.424,11.126,19445.369,7012.000,3,5.546
4,19.454,9.344,19475.874,7023.000,4,8.319
5,19.861,9.145,19883.527,7170.000,5,11.093
6,20.620,9.371,20643.372,7444.000,6,13.866
7,22.296,11.204,22321.131,8049.000,7,16.639
8,24.377,14.637,24403.771,8800.000,8,19.412
9,25.551,16.405,25579.590,9224.000,9,22.185
10,26.022,17.902,26051.026,9394.000,10,24.958
11,25.579,15.122,25607.321,9234.000,11,27.732
12,26.488,16.136,26516.916,9562.000,12,30.505
13,27.263,18.504,27293.400,9842.000,13,33.278
14,26.114,14.987,26142.540,9427.000,14,36.051
15,24.684,12.037,24711.592,8911.000,15,38.824
16,23.679,12.585,23704.936,8548.000,16,41.597
17,22.313,11.090,22337.770,8055.000,17,44.370
18,21.612,9.812,21636.162,7802.000,18,47.144
19,21.861,9.466,21885.746,7892.000,19,49.917
20,22.482,10.952,22506.933,8116.000,20,52.690
21,23.914,15.767,23940.654,8633.000,21,55.463
22,25.050,18.081,25077.648,9043.000,22,58.236
23,25.568,19.822,25596.229,9230.000,23,61.009
24,24.706,17.507,24733.777,8919.000,24,63.783
25,24.443,19.569,24470.327,8824.000,25,66.556
26,24.083,20.164,24109.817,8694.000,26,69.329
27,22.906,20.398,22931.226,8269.000,27,72.102
28,22.421,16.146,22445.923,8094.000,28,74.875
29,22.548,12.617,22573.489,8140.000,29,77.648
30,23.094,12.216,23119.800,8337.000,30,80.422
31,22.803,10.481,22828.619,8232.000,31,83.195
32,23.222,11.440,23247.366,8383.000,32,85.968
33,23.512,12.143,23538.547,8488.000,33,88.741
34,23.803,12.035,23829.728,8593.000,34,91.514
35,24.086,11.606,24112.590,8695.000,35,94.287
36,24.626,10.873,24653.356,8890.000,36,97.060
37,25.241,11.466,25268.996,9112.000,37,99.834
38,26.380,12.171,26408.763,9523.000,38,102.607
39,27.255,11.113,27285.080,9839.000,39,105.380
40,28.271,11.508,28302.829,10206.000,40,108.153
41,29.111,13.096,29143.095,10509.000,41,110.926
42,30.618,14.186,30651.692,11053.000,42,113.699
43,32.629,15.012,32665.003,11779.000,43,116.473
44,32.443,13.268,32479.201,11712.000,44,119.246
45,31.875,13.058,31910.704,11507.000,45,122.019
46,33.224,17.471,33261.231,11994.000,46,124.792
47,34.598,18.378,34636.717,12490.000,47,127.565
48,34.219,19.266,34256.794,12353.000,48,130.338
49,34.050,20.949,34087.632,12292.000,49,133.111
50,35.313,19.113,35352.191,12748.000,50,135.885
51,37.446,20.307,37487.521,13518.000,51,138.658
52,37.787,17.912,37828.619,13641.000,52,141.431
53,37.091,16.540,37132.557,13390.000,53,144.204
54,37.006,17.396,37046.589,13359.000,54,146.977
55,37.540,16.333,37581.808,13552.000,55,149.750
56,38.551,18.491,38594.010,13917.000,56,152.524
57,39.139,18.151,39181.919,14129.000,57,155.297
58,40.515,17.157,40560.177,14626.000,58,158.070
59,42.136,23.807,42182.474,15211.000,59,160.843
60,41.501,23.792,41547.421,14982.000,60,163.616
61,41.310,20.331,41356.073,14913.000,61,166.389
